Exercise Name,Type,Difficulty,Duration(min),Target Body Part,Equipment
Exercise 1 - Lunges,Strength,Beginner,20,Full Body,Mat
Exercise 2 - Jump Rope,Cardio,Beginner,30,Legs,Resistance Bands
Exercise 3 - HIIT,Cardio,Intermediate,30,Legs,Barbell
Exercise 4 - Dumbbell Press,Strength,Advanced,20,Back,Dumbbells
Exercise 5 - HIIT,Cardio,Beginner,10,Chest,Mat
Exercise 6 - HIIT,Cardio,Intermediate,20,Chest,Dumbbells
Exercise 7 - Russian Twists,Core,Beginner,30,Legs,None
Exercise 8 - Jump Rope,Cardio,Intermediate,20,Chest,Resistance Bands
Exercise 9 - Russian Twists,Core,Beginner,30,Core,None
Exercise 10 - Rowing,Cardio,Advanced,30,Full Body,Mat
Exercise 11 - Yoga,Flexibility,Advanced,30,Back,Barbell
Exercise 12 - HIIT,Cardio,Intermediate,10,Full Body,Resistance Bands
Exercise 13 - Stretching,Flexibility,Advanced,20,Chest,Dumbbells
Exercise 14 - Mountain Climbers,Core,Intermediate,15,Core,None
Exercise 15 - Mountain Climbers,Core,Beginner,10,Core,Barbell
Exercise 16 - Tai Chi,Flexibility,Intermediate,20,Full Body,Mat
Exercise 17 - Lunges,Strength,Advanced,20,Back,None
Exercise 18 - Crunches,Core,Beginner,30,Core,Dumbbells
Exercise 19 - Lunges,Strength,Intermediate,30,Full Body,Dumbbells
Exercise 20 - Lunges,Strength,Beginner,30,Arms,Dumbbells
Exercise 21 - Lunges,Strength,Intermediate,10,Legs,Resistance Bands
Exercise 22 - Deadlift,Strength,Beginner,20,Core,Resistance Bands
Exercise 23 - Lunges,Strength,Intermediate,30,Back,Mat
Exercise 24 - Running,Cardio,Intermediate,15,Full Body,Resistance Bands
Exercise 25 - Lunges,Strength,Beginner,30,Legs,Mat
Exercise 26 - Tai Chi,Flexibility,Advanced,20,Arms,None
Exercise 27 - Cycling,Cardio,Beginner,20,Chest,Resistance Bands
Exercise 28 - Plank,Core,Beginner,15,Core,Dumbbells
Exercise 29 - Pilates,Flexibility,Beginner,10,Arms,Dumbbells
Exercise 30 - Russian Twists,Core,Advanced,15,Core,None
Exercise 31 - Rowing,Cardio,Intermediate,20,Full Body,Resistance Bands
Exercise 32 - Running,Cardio,Beginner,30,Legs,Dumbbells
Exercise 33 - Jump Rope,Cardio,Intermediate,30,Arms,Mat
Exercise 34 - Squats,Strength,Advanced,15,Back,Dumbbells
Exercise 35 - Yoga,Flexibility,Intermediate,10,Arms,Dumbbells
Exercise 36 - Pilates,Flexibility,Beginner,15,Core,Barbell
Exercise 37 - Running,Cardio,Intermediate,15,Chest,Resistance Bands
Exercise 38 - Crunches,Core,Beginner,10,Full Body,Dumbbells
Exercise 39 - Crunches,Core,Intermediate,20,Arms,Barbell
Exercise 40 - Foam Rolling,Flexibility,Advanced,20,Full Body,None
